bench,dpname,rw-fb-rand-1,rw-fb-rand-2,rw-fb-rand-3,rw-fb-rand-4,rw-fb-rand-5,rw-fb-pw-1,rw-fb-pw-2,rw-fb-pw-3,rw-fb-pw-4,rw-fb-pw-5,rw-BoW-Freq-rand-1,rw-BoW-Freq-rand-2,rw-BoW-Freq-rand-3,rw-BoW-Freq-rand-4,rw-BoW-Freq-rand-5,rw-BoW-Freq-pw-1,rw-BoW-Freq-pw-2,rw-BoW-Freq-pw-3,rw-BoW-Freq-pw-4,rw-BoW-Freq-pw-5,rw-LSTM-rand-1,rw-LSTM-pw-1,rw-LSTM-rand-2,rw-LSTM-pw-2,rw-LSTM-rand-3,rw-LSTM-pw-3,rw-LSTM-rand-4,rw-LSTM-pw-4,rw-LSTM-rand-5,rw-LSTM-pw-5,rw-GGNN-rand-1,rw-GGNN-rand-2,rw-GGNN-rand-3,rw-GGNN-rand-4,rw-GGNN-rand-5,rw-GGNN-pw-1,rw-GGNN-pw-2,rw-GGNN-pw-3,rw-GGNN-pw-4,rw-GGNN-pw-5
Biojava,Biojava.AbstractUserArgumentProcessor.342.CeMain.main.truepositive.txt,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,1
Biojava,Biojava.AFPChainXMLParser.235.JFatCatClient.main.truepositive.txt,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
Biojava,Biojava.AllChemCompProvider.101.AllChemCompProvider.ensureFileExists.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
Biojava,Biojava.AllChemCompProvider.128.AllChemCompProvider.downloadFile.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0
Biojava,Biojava.AllChemCompProvider.153.AllChemCompProvider.getLocalFileName.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0
Biojava,Biojava.Astral.224.Astral.getRepresentatives.truepositive.txt,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Biojava,Biojava.Astral.229.Astral.getRepresentatives.truepositive.txt,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
Biojava,Biojava.BiologicalAssemblyTransformation.239.RemoteBioUnitDataProvider.getBioUnitTransformationList.truepositive.txt,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Biojava,Biojava.CallableStructureAlignment.178.CallableStructureAlignment.call.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.ChemCompGroupFactory.116.ChemCompTest.testMEA.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.DownloadChemCompProvider.112.ChemCompDistribution.main.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
Biojava,Biojava.DownloadChemCompProvider.217.ChemCompDistribution.main.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
Biojava,Biojava.DownloadChemCompProvider.329.ChemCompDistribution.main.falsepositive.txt,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0
Biojava,Biojava.DownloadChemCompProvider.329.ChemCompGroupFactory.getChemComp.truepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1
Biojava,Biojava.DownloadChemCompProvider.338.PDBFileReader.main.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1
Biojava,Biojava.EcodInstallation$EcodParser.517.EcodInstallation.main.truepositive.txt,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.EcodInstallation$EcodParser.577.EcodInstallation.main.truepositive.txt,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.EcodInstallation$EcodParser.586.EcodInstallation.main.truepositive.txt,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.EcodInstallation$EcodParser.589.EcodInstallation.main.truepositive.txt,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.FastaAFPChainConverter.402.FastaAFPChainConverter.main.truepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1
Biojava,Biojava.GuiWrapper.216.FatCat.main.truepositive.txt,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1
Biojava,Biojava.HasResultXMLConverter.78.JFatCatClient.hasPrecalculatedResult.falsepositive.txt,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,0
Biojava,Biojava.JFatCatClient.121.JFatCatClient.hasPrecalculatedResult.truepositive.txt,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1
Biojava,Biojava.JFatCatClient.255.JFatCatClient.sendMultiAFPChainToServer.truepositive.txt,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0
Biojava,Biojava.JFatCatClient.320.JFatCatClient.sendAFPChainToServer.truepositive.txt,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Biojava,Biojava.MultipleAlignmentXMLParser.87.TestMultipleAlignmentXMLParser.testRecovery2.falsepositive.txt,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Biojava,Biojava.PDBDomainProvider.143.PDBDomainProvider.main.truepositive.txt,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0
Biojava,Biojava.PdbPairXMLConverter.56.JFatCatClient.main.truepositive.txt,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Biojava,Biojava.PDBStatus.584.MMCIFFileReader.main.truepositive.txt,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
Biojava,Biojava.PositionInQueueXMLConverter.69.JFatCatClient.getPositionInQueue.truepositive.txt,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1
Biojava,Biojava.ReadUtils.83.RCSBDescriptionFactoryTest.testUrl.truepositive.txt,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0
Biojava,Biojava.RemoteBioUnitDataProvider.152.RemoteBioUnitDataProvider.getNrBiolAssemblies.truepositive.txt,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1
Biojava,Biojava.RemoteRawBioUnitDataProvider.143.RemoteRawBioUnitDataProvider.main.truepositive.txt,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1
Biojava,Biojava.RepresentativeXMLConverter.69.GetRepresentatives.getRepresentatives.truepositive.txt,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.RepresentativeXMLConverter.69.JFatCatClient.main.truepositive.txt,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
Biojava,Biojava.SandboxStyleStructureProvider.184.SandboxStyleStructureProvider.getAllPDBIDs.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0
Biojava,Biojava.SandboxStyleStructureProvider.192.SandboxStyleStructureProvider.getAllPDBIDs.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,0
Biojava,Biojava.ScanSymmetry.76.ScanSymmetry.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.ScanSymmetry.77.ScanSymmetry.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.SerializableCache.153.SerializableCache.getCacheFile.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Biojava,Biojava.SimpleMMcifParser.216.AllChemCompProvider.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.SimpleMMcifParser.225.AllChemCompProvider.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.SimpleMMcifParser.273.AllChemCompProvider.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.SimpleMMcifParser.287.AllChemCompProvider.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.SimpleMMcifParser.299.AllChemCompProvider.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.SimpleMMcifParser.301.AllChemCompProvider.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.SimpleMMcifParser.306.AllChemCompProvider.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.SimpleMMcifParser.315.AllChemCompProvider.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.SimpleMMcifParser.317.AllChemCompProvider.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.SimpleMMcifParser.359.AllChemCompProvider.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.SimpleMMcifParser.381.AllChemCompProvider.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.SimpleMMcifParser.577.AllChemCompProvider.run.falsepositive.txt,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.SimpleMMcifParser.598.AllChemCompProvider.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.SimpleMMcifParser.840.AllChemCompProvider.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Biojava,Biojava.StructureName.231.RemoteDomainProvider.main.truepositive.txt,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
Biojava,Biojava.StructureTools.1664.FastaAFPChainConverterTest.testCpSymmetric2.falsepositive.txt,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
Biojava,Biojava.TestLoadStructureFromURL.46.TestLoadStructureFromURL.testLoadStructureFromURL.falsepositive.txt,1,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0
Freecs,Freecs.GroupManager.175.RequestReader.run.truepositive.txt,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Freecs,Freecs.GroupManager.492.RequestReader.run.truepositive.txt,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Freecs,Freecs.LogFile.136.LogFile.main.truepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Freecs,Freecs.LogFile$LogFileShrinker.177.LogFile.main.truepositive.txt,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Freecs,Freecs.LogFile$LogFileShrinker.187.LogFile.main.truepositive.txt,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
Freecs,Freecs.MessageTemplateFinder.48.MessageTemplateFinder.main.truepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1
Freecs,Freecs.MessageTemplateFinder.56.MessageTemplateFinder.main.truepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
Freecs,Freecs.StaticRequestHandler.78.RequestReader.run.truepositive.txt,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Freecs,Freecs.StaticRequestHandler.86.RequestReader.run.truepositive.txt,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Freecs,Freecs.StaticRequestHandler.101.RequestReader.run.truepositive.txt,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
Giraph,Giraph.AllOptions.154.AllOptions.main.truepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
Giraph,Giraph.AnnotationUtils$GeneralClassesIterator.197.GiraphRunner.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Giraph,Giraph.AnnotationUtils$JarClassesIterator.121.GiraphRunner.run.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
Giraph,Giraph.FileUtils.58.TestFilters.testVertexFilter.falsepositive.txt,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
Giraph,Giraph.GeneratePrimitiveClasses.255.GeneratePrimitiveClasses.main.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Giraph,Giraph.JMap.98.JMapHistoDumper.startJMapThread.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0
Giraph,Giraph.ZooKeeperManager.434.GraphTaskManager.startZooKeeperManager.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
Giraph,Giraph.ZooKeeperManager.462.GraphTaskManager.startZooKeeperManager.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
Giraph,Giraph.ZooKeeperManager.500.GraphTaskManager.startZooKeeperManager.falsepositive.txt,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1
H2,H2.BuildBase.390.Build.warConsole.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
H2,H2.CreateCluster.164.CreateCluster.main.truepositive.txt,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
H2,H2.CreateCluster.165.CreateCluster.main.truepositive.txt,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
H2,H2.Db.323.Db.executeQuery.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
H2,H2.Db.338.SamplesTest.test.falsepositive.txt,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1
H2,H2.DbConnection.61.DbConnection.reset.falsepositive.txt,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0
H2,H2.Migrate.217.Migrate.main.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
H2,H2.RunScript.283.CreateScriptFile.main.truepositive.txt,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
H2,H2.Script.139.CreateCluster.main.truepositive.txt,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1
H2,H2.Shell.456.Shell.main.truepositive.txt,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1
H2,H2.SourceCompiler.316.SourceCompiler.getMethod.falsepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,1
H2,H2.SQLInjection.132.SQLInjection.main.truepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
H2,H2.SQLInjection.190.SQLInjection.main.truepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
H2,H2.SQLInjection.247.SQLInjection.main.truepositive.txt,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
H2,H2.SQLInjection.328.SQLInjection.main.truepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
H2,H2.SQLInjection.350.SQLInjection.main.truepositive.txt,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0
H2,H2.TestCompress.153.TestCompress.test.falsepositive.txt,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,0
H2,H2.TestCsv.399.TestCsv.test.falsepositive.txt,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1
