seed,alg,strat,split,tprate,fprate,precision,recall,fscore,acc,time
7421,Freq,pw,4,0.935,0.438,58.00,93.500,0.716,70.8861,0.19
7421,Freq,pw,5,0.25,0.05,93.300,25.00,0.394,43.4211,0.18
9876,Occ,pw,1,0.324,0.077,80.0,32.400,0.462,63.1579,0.16
9876,Occ,pw,2,0.34,0.872,28.100,34.00,0.308,23.4043,0.14
9876,Occ,pw,3,0.261,0.421,20.0,26.100,0.226,48.75,0.14
9876,Occ,pw,4,0.581,0.146,72.00,58.100,0.643,74.6835,0.14
9876,Occ,pw,5,0.196,0,100,19.600,0.328,40.7895,0.14
9876,Freq,pw,1,0.541,0.026,95.200,54.100,0.69,76.3158,0.18
9876,Freq,pw,2,0.191,0.787,19.600,19.100,0.194,20.2128,0.14
9876,Freq,pw,3,0.391,0.386,29.00,39.100,0.333,55,0.22
9876,Freq,pw,4,0.677,0.146,75.00,67.700,0.712,78.481,0.15
9876,Freq,pw,5,0.304,0.25,77.300,30.400,0.436,42.1053,0.18
1234,Occ,owasp,1,0.906,0.041,95.500,90.600,0.93,93.2773,0.14
1234,Occ,owasp,2,0.958,0.033,96.600,95.800,0.962,96.2105,0.14
1234,Occ,owasp,3,0.957,0.033,96.600,95.700,0.962,96.2105,0.14
1234,Occ,owasp,4,0.94,0.042,95.700,94.00,0.948,94.9474,0.13
1234,Occ,owasp,5,0.958,0.046,95.400,95.800,0.956,95.5789,0.14
1234,Freq,owasp,1,0.915,0.058,93.900,91.500,0.927,92.8571,0.11
1234,Freq,owasp,2,0.958,0.05,95.00,95.800,0.954,95.3684,0.12
1234,Freq,owasp,3,0.945,0.033,96.500,94.500,0.955,95.5789,0.12
1234,Freq,owasp,4,0.932,0.05,94.800,93.200,0.94,94.1053,0.11
1234,Freq,owasp,5,0.941,0.042,95.700,94.100,0.949,94.9474,0.11
3252,Occ,owasp,1,0.919,0.046,95.200,91.900,0.935,93.6975,0.14
3252,Occ,owasp,2,0.941,0.017,98.200,94.100,0.961,96.2105,0.15
3252,Occ,owasp,3,0.957,0.042,95.700,95.700,0.957,95.7895,0.14
3252,Occ,owasp,4,0.945,0.042,95.700,94.500,0.951,95.1579,0.15
3252,Occ,owasp,5,0.97,0.042,95.800,97.00,0.964,96.4211,0.14
3252,Freq,owasp,1,0.915,0.037,96.00,91.500,0.937,93.9076,0.12
3252,Freq,owasp,2,0.975,0.046,95.400,97.500,0.964,96.4211,0.12
3252,Freq,owasp,3,0.94,0.025,97.400,94.00,0.957,95.7895,0.12
3252,Freq,owasp,4,0.945,0.038,96.100,94.500,0.953,95.3684,0.13
3252,Freq,owasp,5,0.945,0.029,97.00,94.500,0.957,95.7895,0.12
5827,Occ,owasp,1,0.911,0.046,95.100,91.100,0.93,93.2773,0.15
5827,Occ,owasp,2,0.945,0.033,96.500,94.500,0.955,95.5789,0.15
5827,Occ,owasp,3,0.949,0.046,95.300,94.900,0.951,95.1579,0.2
5827,Occ,owasp,4,0.945,0.042,95.700,94.500,0.951,95.1579,0.15
5827,Occ,owasp,5,0.975,0.038,96.300,97.500,0.969,96.8421,0.15
5827,Freq,owasp,1,0.915,0.041,95.600,91.500,0.935,93.6975,0.11
5827,Freq,owasp,2,0.958,0.038,96.200,95.800,0.96,96,0.11
5827,Freq,owasp,3,0.936,0.029,96.900,93.600,0.952,95.3684,0.12
5827,Freq,owasp,4,0.94,0.021,97.800,94.00,0.959,96,0.11
5827,Freq,owasp,5,0.949,0.05,94.900,94.900,0.949,94.9474,0.12
7421,Occ,owasp,1,0.911,0.041,95.500,91.100,0.932,93.4874,0.14
7421,Occ,owasp,2,0.945,0.038,96.100,94.500,0.953,95.3684,0.16
7421,Occ,owasp,3,0.949,0.038,96.100,94.900,0.955,95.5789,0.14
7421,Occ,owasp,4,0.94,0.046,95.300,94.00,0.946,94.7368,0.14
7421,Occ,owasp,5,0.962,0.034,96.600,96.200,0.964,96.4211,0.14
7421,Freq,owasp,1,0.915,0.046,95.100,91.500,0.933,93.4874,0.12
7421,Freq,owasp,2,0.958,0.046,95.400,95.800,0.956,95.5789,0.12
7421,Freq,owasp,3,0.936,0.033,96.500,93.600,0.95,95.1579,0.12
7421,Freq,owasp,4,0.94,0.038,96.100,94.00,0.951,95.1579,0.12
7421,Freq,owasp,5,0.949,0.046,95.300,94.900,0.951,95.1579,0.12
9876,Occ,owasp,1,0.928,0.041,95.600,92.800,0.942,94.3277,0.14
9876,Occ,owasp,2,0.953,0.038,96.200,95.300,0.957,95.7895,0.14
9876,Occ,owasp,3,0.966,0.042,95.800,96.600,0.962,96.2105,0.14
9876,Occ,owasp,4,0.945,0.038,96.100,94.500,0.953,95.3684,0.14
9876,Occ,owasp,5,0.962,0.038,96.200,96.200,0.962,96.2105,0.14
9876,Freq,owasp,1,0.915,0.054,94.300,91.500,0.929,93.0672,0.12
9876,Freq,owasp,2,0.958,0.054,94.600,95.800,0.952,95.1579,0.11
9876,Freq,owasp,3,0.936,0.021,97.800,93.600,0.957,95.7895,0.11
9876,Freq,owasp,4,0.932,0.046,95.200,93.200,0.942,94.3158,0.12
9876,Freq,owasp,5,0.954,0.029,97.00,95.400,0.962,96.2105,0.11
