seed,alg,strat,split,epoch,loss,acc,precision,recall,f1,speed,time
1,Embed,rand,3,324,9.87,74.00,66.00,75.00,0.7,14.81,290.76
1,Embed,rand,4,343,1.2,86.00,85.00,87.00,0.85,14.89,300.55
1,Embed,rand,5,336,0.39,82.00,76.00,83.00,0.79,16.54,300.15
3252,KOT,pw,2,293,7.28,45.00,48.00,87.00,0.62,11.12,240.95
3252,KOT,pw,3,204,1.95,44.00,28.00,57.00,0.37,40.25,192.2
3252,KOT,pw,4,317,6.58,46.00,27.00,23.00,0.25,13.37,269.29
3252,KOT,pw,5,210,10.05,40.0,68.00,37.00,0.48,15.96,183.96
3252,KOTI,pw,1,250,3.35,41.00,39.00,30.0,0.33,16.06,225.8
3252,KOTI,pw,2,231,9.15,27.00,23.00,19.00,0.21,10.63,185.07
3252,KOTI,pw,3,309,3.04,53.00,23.00,26.00,0.24,40.35,300.04
3252,KOTI,pw,4,224,26.71,38.00,29.00,39.00,0.33,13.8,189.84
3252,KOTI,pw,5,224,10.5,31.00,59.00,22.00,0.31,15.72,197
3252,Embed,pw,1,310,3.76,64.00,86.00,34.00,0.48,17.23,280.91
3252,Embed,pw,2,246,2.31,41.00,0,0,0.00,10.73,204.77
3252,Embed,pw,3,301,0.7,54.00,33.00,57.00,0.42,35.03,300.48
3252,Embed,pw,4,245,1.54,49.00,31.00,23.00,0.26,12.94,210.86
3252,Embed,pw,5,201,2.17,53.00,76.00,55.00,0.64,14.45,182.4
3252,KOT,rand,1,326,1.05,84.00,79.00,88.00,0.84,18.37,300.1
3252,KOT,rand,2,329,0.72,89.00,89.00,89.00,0.89,16.63,300.05
3252,KOT,rand,3,311,7.47,80.0,74.00,79.00,0.76,12.91,300.08
3252,KOT,rand,4,315,1.86,78.00,73.00,87.00,0.78,13.31,300.53
3252,KOT,rand,5,281,0.92,71.00,65.00,68.00,0.66,14.67,277.69
3252,KOTI,rand,1,303,0.9,84.00,85.00,80.0,0.82,19.02,300.07
3252,KOTI,rand,2,329,0.91,85.00,85.00,83.00,0.84,17.12,300.41
3252,KOTI,rand,3,330,12.59,77.00,70.0,75.00,0.72,13.53,300.78
3252,KOTI,rand,4,336,1.67,87.00,82.00,94.00,0.87,14.09,300.8
3252,KOTI,rand,5,330,1.08,78.00,74.00,75.00,0.74,15.94,300.48
3252,Embed,rand,1,327,0.45,79.00,80.0,74.00,0.77,18.19,300.44
3252,Embed,rand,2,317,0.43,79.00,83.00,69.00,0.75,14.6,300.4
3252,Embed,rand,3,289,1.59,75.00,72.00,61.00,0.65,14.3,273.1
3252,Embed,rand,4,340,0.93,83.00,82.00,84.00,0.82,14.5,300.61
3252,Embed,rand,5,328,0.47,74.00,74.00,64.00,0.69,16.29,300.46
5827,KOT,pw,2,323,2.14,0.56,54.00,85.00,0.66,11.22,259.62
5827,KOT,pw,3,203,2.55,0.38,17.00,30.0,0.22,41.43,192.57
5827,KOT,pw,4,346,16.52,0.56,47.00,81.00,0.59,13.14,300.25
5827,KOT,pw,5,330,38.03,0.44,75.00,36.00,0.47,14.35,300
5827,KOTI,pw,1,316,11.31,0.71,78.00,58.00,0.66,17.08,300.65
5827,KOTI,pw,2,203,5.35,0.52,52.00,68.00,0.59,10.76,162.29
5827,KOTI,pw,3,202,1.42,0.54,31.00,48.00,0.38,42.48,193.81
5827,KOTI,pw,4,215,14.97,0.54,44.00,29.00,0.34,12.87,186.79
5827,KOTI,pw,5,206,61.28,0.33,57.00,41.00,0.48,14.75,182.57
5827,Embed,pw,1,325,2.46,0.68,89.00,41.00,0.56,16.98,293.71
5827,Embed,pw,2,221,2.83,0.3,0,0,nan,11.28,174.14
5827,Embed,pw,3,307,1.08,0.58,31.00,35.00,0.33,39.48,300.25
5827,Embed,pw,4,244,3.63,0.38,36.00,71.00,0.48,13.71,211.73
5827,Embed,pw,5,201,3.97,0.55,75.00,59.00,0.66,15.42,180.89
5827,KOT,rand,1,325,0.61,0.88,83.00,94.00,0.88,18.55,300.93
5827,KOT,rand,2,329,2.71,0.87,82.00,91.00,0.86,15.94,300.90
5827,KOT,rand,3,321,13.45,0.72,65.00,71.00,0.68,12.7,296.39
5827,KOT,rand,4,328,1.16,0.76,72.00,84.00,0.77,13.48,301
5827,KOT,rand,5,301,1.67,0.66,57.00,85.00,0.68,16.77,274.7
5827,KOTI,rand,1,325,4.39,0.77,72.00,89.00,0.79,18.71,300.61
5827,KOTI,rand,2,253,1.6,0.8,78.00,80.0,0.79,17.12,229.24
5827,KOTI,rand,3,324,14.6,0.75,69.00,71.00,0.7,14.59,300.8
5827,KOTI,rand,4,333,3.55,0.71,72.00,67.00,0.69,13.63,300.00
5827,KOTI,rand,5,319,1.87,0.77,73.00,77.00,0.74,16.01,300.29
5827,Embed,rand,1,325,0.69,0.75,70.0,80.0,0.75,18.35,300.71
5827,Embed,rand,2,328,0.51,0.8,81.00,74.00,0.77,17.17,300.30
5827,Embed,rand,3,327,7.62,0.72,62.00,82.00,0.7,13.42,300.11
5827,Embed,rand,4,322,2.52,0.78,81.00,70.0,0.75,13.21,300.06
5827,Embed,rand,5,321,0.62,0.78,72.00,78.00,0.75,16.46,300.26
9876,KOT,pw,1,228,6.26,0.32,31.00,30.0,0.3,16.89,207.01
9876,KOT,pw,2,358,1.51,0.38,29.00,17.00,0.21,10.33,300.55
9876,KOT,pw,3,276,1.59,0.44,32.00,78.00,0.45,40.04,267.40
9876,KOT,pw,4,349,3.68,0.65,56.00,58.00,0.57,13.08,300.17
9876,KOT,pw,5,328,32.58,0.44,69.00,43.00,0.53,14.51,300.26
9876,KOTI,pw,1,206,11.09,0.31,27.00,25.00,0.26,16.6,198.46
9876,KOTI,pw,2,247,14.27,0.22,29.00,38.00,0.33,10.87,208.82
9876,KOTI,pw,3,201,1.72,0.49,10.0,9.00,0.09,34.02,197.47
9876,KOTI,pw,4,205,42.55,0.42,40.0,87.00,0.54,13.23,183.41
9876,KOTI,pw,5,231,66.79,0.48,76.00,45.00,0.56,14.61,215.96
9876,Embed,pw,1,323,1.2,0.57,53.00,98.00,0.69,17.05,300.37
9876,Embed,pw,2,240,1.14,0.45,48.00,87.00,0.62,10.99,191.79
9876,Embed,pw,3,311,1.09,0.51,23.00,30.0,0.26,39.17,300.09
9876,Embed,pw,4,246,4.77,0.45,41.00,84.00,0.55,13.44,210.01
9876,Embed,pw,5,201,3.84,0.53,82.00,48.00,0.61,15.92,176.62
9876,KOT,rand,1,327,1.15,0.83,87.00,74.00,0.8,18.28,300.84
9876,KOT,rand,2,326,1.53,0.8,87.00,69.00,0.76,17.59,300.43
9876,KOT,rand,3,325,14.8,0.74,65.00,79.00,0.71,14.64,294.38
9876,KOT,rand,4,336,1.03,0.76,70.0,90.0,0.78,15,300.87
9876,KOT,rand,5,309,1.29,0.77,66.00,81.00,0.73,15.02,300.66
9876,KOTI,rand,1,304,1.48,0.83,85.00,77.00,0.8,16.28,300.1
9876,KOTI,rand,2,304,1.18,0.79,76.00,80.0,0.78,15.21,300.47
9876,KOTI,rand,3,324,3.89,0.74,67.00,71.00,0.69,14.95,300.93
9876,KOTI,rand,4,337,3.02,0.84,83.00,83.00,0.83,14.9,300.04
9876,KOTI,rand,5,330,1.57,0.78,71.00,82.00,0.76,16.32,300.56
9876,Embed,rand,1,323,0.54,0.71,73.00,60.0,0.65,18.39,300.65
9876,Embed,rand,2,326,0.58,0.84,90.0,74.00,0.81,16.87,300.7
9876,Embed,rand,3,329,3.6,0.78,70.0,86.00,0.76,14.28,300.0
9876,Embed,rand,4,338,1.24,0.76,80.0,67.00,0.73,13.58,300.06
9876,Embed,rand,5,331,0.47,0.82,76.00,83.00,0.79,16.26,300.46
0,Embed,owasp,1,1974,0.11,95.00,97.00,93.00,0.95,875.88,170.84
0,Embed,owasp,2,803,0.29,84.00,83.00,84.00,0.84,916.94,67.60
0,Embed,owasp,3,2304,0.1,95.00,92.00,97.00,0.95,909.4,196.74
0,Embed,owasp,4,1814,0.09,95.00,98.00,92.00,0.95,924.14,154.79
0,Embed,owasp,5,1753,0.14,92.00,94.00,91.00,0.92,918.67,147.95
0,KOT,owasp,1,751,0.46,77.00,76.00,77.00,0.77,886.35,133.35
0,KOT,owasp,2,421,0.45,78.00,76.00,82.00,0.79,351.46,95.00
0,KOT,owasp,3,458,0.48,74.00,68.00,90.0,0.77,383.59,100.74
0,KOT,owasp,4,339,0.46,78.00,77.00,80.0,0.78,292.68,78.70
0,KOT,owasp,5,583,0.52,74.00,85.00,58.00,0.69,546.94,116.74
0,KOTI,owasp,1,348,0.48,77.00,74.00,81.00,0.78,1073.17,53.39
0,KOTI,owasp,2,282,0.61,74.00,90.0,55.00,0.68,356.62,46.58
0,KOTI,owasp,3,312,0.45,79.00,84.00,72.00,0.77,873.03,50.55
0,KOTI,owasp,4,300,0.5,76.00,87.00,59.00,0.71,591.26,49.5
0,KOTI,owasp,5,302,0.49,76.00,79.00,70.0,0.74,524.56,49.43
